Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt1000
DZA,TOT,MKD,52,53,95,2522,2930,true
DZA,TOT,MDG,3,2,4,4373,3953,true
DZA,TOT,MRT,0,1,2,1558,1722,true
DZA,TOT,MAR,94601,30409,17079,14454,13233,true
DZA,TOT,NLD,52,266,710,2020,3873,true
DZA,TOT,NCL,264,13,859,852,1022,true
DZA,TOT,NGA,0,800,8257,3205,5373,true
DZA,TOT,QAT,9,1882,2854,289,1815,true
DZA,TOT,ESP,0,0,0,6984,23269,true
DZA,TOT,SWE,6,1480,3265,6109,1664,true
DZA,TOT,CHE,6568,1811,6864,6749,3959,true
DZA,TOT,THA,7,0,273,548,1882,true
DZA,TOT,TUN,32926,18207,16256,16819,15846,true
DZA,TOT,GBR,8385,30581,2479,5592,40555,true
DZA,TOT,USA,322,533,4843,5577,11717,true
DZA,TOT,PSE,3293,3926,4648,6116,9454,true
DZA,TOT,YEM,1136,1407,1742,2156,2521,true
DZA,FEM,BEL,683,2393,4912,4957,3626,true
DZA,FEM,CAN,105,612,1146,1002,7980,true
DZA,FEM,FRA,201387,632298,630419,652025,535456,true
DZA,FEM,DEU,3182,2784,3904,2142,4723,true
DZA,FEM,IND,1271,5213,1623,2559,3464,true
DZA,FEM,ISR,23169,28203,28639,22347,21703,true
DZA,FEM,ITA,3726,5681,2522,2306,4802,true
DZA,FEM,LBY,39,457,1018,1500,1796,true
DZA,FEM,MKD,24,25,47,1488,1728,true
DZA,FEM,MDG,1,0,2,2406,2175,true
DZA,FEM,MAR,47527,15155,8430,7072,6410,true
DZA,FEM,NLD,27,62,202,731,1195,true
DZA,FEM,NGA,0,375,3942,1591,2766,true
DZA,FEM,ESP,0,0,0,3500,6606,true
DZA,FEM,CHE,3886,950,3378,3093,1385,true
DZA,FEM,TUN,15195,9379,8181,8580,7983,true
DZA,FEM,GBR,3647,13648,964,2155,17288,true
DZA,FEM,USA,162,288,2408,1932,4581,true
DZA,FEM,PSE,1496,1768,2084,2757,4277,true
DZA,FEM,YEM,730,904,1119,1385,1619,true
DZA,MAL,BEL,1011,4381,7267,6594,4378,true
DZA,MAL,CAN,117,655,1214,2036,12318,true
DZA,MAL,FRA,425229,861691,794288,723746,521679,true
DZA,MAL,DEU,6488,4611,10387,4805,15571,true
DZA,MAL,IND,1081,4393,1172,1800,1335,true
DZA,MAL,ISR,23715,27507,26665,23720,25032,true
DZA,MAL,ITA,3639,5691,2785,3565,11060,true
DZA,MAL,LBY,33,933,2516,3707,4438,true
DZA,MAL,MKD,28,28,48,1034,1201,true
DZA,MAL,MDG,1,0,2,1968,1779,true
DZA,MAL,MAR,47075,15254,8649,7382,6822,true
DZA,MAL,NLD,25,205,508,1289,2677,true
DZA,MAL,NGA,0,425,4315,1613,2607,true
DZA,MAL,QAT,7,1364,1956,182,1404,true
DZA,MAL,ESP,0,0,0,3484,16662,true
DZA,MAL,SWE,3,857,2048,3587,1099,true
DZA,MAL,CHE,2681,861,3486,3656,2574,true
