1960,1970,1980,1990,2000,origin
3507461,3903997,4154492,4231146,4061775,GBR
52340,82658,148834,230005,627587,ECU
173976,395501,1030182,1908373,2267586,EGY
194967,322432,309194,315657,339363,LVA
541873,900250,992219,1248169,1922359,SCG
965814,1187284,1183275,1057763,1049952,GRC
14138,9300,15354,44393,43069,DMA
1924,1760,4054,4549,7905,GUF
682,176,1517,668,3630,SMR
254326,262069,291519,347423,628207,COD
140655,196809,440579,599130,676993,LBN
649818,637558,477673,570176,756314,MOZ
1236,1053,1378,1383,2595,SHN
19714,18979,35657,45126,59750,GRD
3400,2458,3343,3074,3565,AIA
14605,31408,66628,158492,291252,ETH
5626,3041,15571,1310,2744,MCO
8844720,8522221,3970210,3480650,3812237,PAK
20983,37094,66359,107170,63622,NAM
0,0,0,0,0,zzz
22677,27901,133340,289590,335709,LAO
27597,41882,51792,73977,105632,CRI
1507,3144,5676,6957,6176,NIU
94533,116369,154456,207431,194182,CYP
42556,49149,47190,68483,73530,GNB
856,1055,3441,3578,15714,TLS
56671,62239,43746,53813,63257,COG
80515,106359,198661,151082,220871,NER
4776,2890,5420,7665,18178,PLW
4495,12997,12705,3443,19495,ASM
177161,205379,198504,209580,244451,TZA
11809,14790,19693,23281,35522,GMB
79598,127443,213314,313544,335948,SEN
207524,185158,204454,167878,240232,TGO
28164,104464,150803,157887,287228,SGP
6267828,6362613,6368129,7178761,5915970,UKR
236814,271866,290562,325517,359218,ERI
78148,110553,180508,223213,235583,URY
15612,20967,91164,91840,264551,LBR
274,1196,10642,14667,11688,BTN
389931,427648,430545,470346,853834,ARM
405312,454942,373314,334336,238131,RWA
121113,158858,239327,403628,593867,SDN
459578,794158,904413,978575,1389678,BFA
26056,41903,108197,150291,174654,PAN
141901,210688,302906,516979,777935,HTI
56140,69249,134083,291300,686314,PER
64580,73290,159304,568640,935258,SLV
193531,579349,730437,1148857,1665469,UZB
890,1357,4931,7331,10072,SYC
2247,838,11125,5324,13165,PYF
673238,831467,1242563,1646517,1615047,MAR
917,5392,8077,87102,51133,BRN
14959,132279,194881,525917,694967,KGZ
13155,8420,14295,25887,28879,KNA
47559,73084,81455,154467,340999,HND
53136,235705,5047223,5068368,4987708,BGD
17427,24472,32533,10815,53249,GUM
3664,7988,15489,20480,21102,COK
120536,139100,166734,226404,361475,BOL
54,138,880,2067,737,MDV
179162,228157,249121,396147,691291,ZAF
164696,219001,222632,302881,461581,AUS
56509,98278,158428,216923,333647,VEN
9081881,8260687,7582096,8176592,9516831,IND
295875,309369,263950,274213,233261,MWI
151098,56426,52787,21611,91220,VIR
