3,2,4,4373,3953,3586,MDG,DZA
1,1,178,175,172,0,MWI,DZA
0,6,18,57,120,0,MYS,DZA
450,441,433,425,588,615,MLI,DZA
162,437,426,831,995,,MTQ,DZA
0,1,2,1558,1722,2744,MRT,DZA
0,21,0,41,95,131,MEX,DZA
90,354,680,847,1000,0,MCO,DZA
94601,30409,17079,14454,13233,,MAR,DZA
0,0,3,35,143,0,MOZ,DZA
52,266,710,2020,3873,3833,NLD,DZA
264,13,859,852,1022,0,NCL,DZA
2,8,13,29,109,135,NZL,DZA
353,477,644,507,207,0,NER,DZA
0,800,8257,3205,5373,0,NGA,DZA
215,84,148,457,749,1216,NOR,DZA
186,586,470,378,303,,PAK,DZA
34,27,139,911,606,674,PHL,DZA
4,3,144,283,483,529,POL,DZA
14,36,94,76,0,267,PRT,DZA
3,9,13,1,119,0,PRI,DZA
9,1882,2854,289,1815,0,QAT,DZA
158,638,12,16,23,,REU,DZA
2,9,46,119,129,0,SAU,DZA
290,295,528,165,611,,SCG,DZA
56,3,11,29,104,0,SGP,DZA
25,382,744,1739,190,0,ZAF,DZA
0,0,0,6984,23269,63346,ESP,DZA
764,729,935,530,640,419,SDN,DZA
6,1480,3265,6109,1664,2223,SWE,DZA
6568,1811,6864,6749,3959,6748,CHE,DZA
7,0,273,548,1882,0,THA,DZA
32926,18207,16256,16819,15846,12176,TUN,DZA
602,1096,1308,2366,656,726,TUR,DZA
0,6,63,116,200,0,ARE,DZA
8385,30581,2479,5592,40555,15612,GBR,DZA
322,533,4843,5577,11717,7306,USA,DZA
3293,3926,4648,6116,9454,0,PSE,DZA
1136,1407,1742,2156,2521,0,YEM,DZA
1,0,268,6,5,0,ZMB,DZA
604,778,734,692,637,0,ZWE,DZA
0,3,2,0,155,209,AUS,ASM
180,90,0,0,39,50,CAN,ASM
4,12,21,25,30,165,FJI,ASM
13,10,14,4,246,0,DEU,ASM
6,13,2,184,62,0,IND,ASM
6,198,2,101,0,0,ITA,ASM
2,1,0,6,0,110,KIR,ASM
10,116,179,31,391,550,NZL,ASM
3,9,12,1,116,0,PRI,ASM
1694,916,1281,1071,1920,3003,WSM,ASM
5,21,1469,36,0,0,CHE,ASM
2519,11528,9604,1870,16339,41101,USA,ASM
233,84,1001,0,394,1403,FRA,AND
7,4,3,22,348,72,DEU,AND
0,0,0,76,371,592,PRT,AND
532,290,37,0,0,0,ZAF,AND
1,2,3,0,2888,6171,ESP,AND
8,13,7,139,16,27,CHE,AND
0,0,0,0,0,438,TZA,AND
440,3,1548,57,5,98,USA,AND
786,382,0,45,0,0,ARG,AGO
18,50,145,322,348,526,AUS,AGO
66,44,74,134,251,0,AUT,AGO
58,80,79,525,680,3041,BEL,AGO
202,180,72,533,3857,,BWA,AGO
2947,780,7001,4835,6331,6379,BRA,AGO
0,0,0,158,133,0,CMR,AGO
79,449,835,917,2429,3545,CAN,AGO
1,1,1,1902,2209,2393,CPV,AGO
57,0,51,7,55,101,CHL,AGO
0,1108,697,482,394,,COD,AGO
840,1413,5526,9170,1693,10573,COG,AGO
40,62,80,21,118,0,CIV,AGO
0,0,0,6,136,136,CZE,AGO
174,3,26,58,124,157,DNK,AGO
191,182,191,201,211,0,ETH,AGO
3,14,27,7,110,192,FIN,AGO
7698,18448,141,245,12986,18906,FRA,AGO
18,47,94,218,333,,GUF,AGO
51,103,190,348,529,0,GAB,AGO
314,348,314,720,7231,11742,DEU,AGO
13,170,57,139,13,18,GRC,AGO
301,1230,358,558,614,0,IND,AGO
35,44,78,95,520,1319,IRL,AGO
253,387,1608,2584,1750,2121,ITA,AGO
10,16,55,325,351,423,LUX,AGO
6,6,11,282,327,0,MKD,AGO
35,35,5448,5352,5258,0,MWI,AGO
10,10,76,95,112,0,MCO,AGO
2,12,54,1200,5244,0,MOZ,AGO
113,107,64,25,21,0,MMR,AGO
13238,21219,34012,54519,52200,67540,NAM,AGO
6,1,1,0,6108,6552,NLD,AGO
0,285,2944,1143,1916,0,NGA,AGO
23,4,6,31,105,189,NOR,AGO
101,146,181,32,26,7,PER,AGO
41,36,171,677,2450,3141,PHL,AGO
15415,40277,105233,139439,167578,245650,PRT,AGO
1,5,246,328,486,,REU,AGO
624,594,565,988,940,1843,STP,AGO
10612,7109,3414,5868,11882,0,ZAF,AGO
0,0,0,2540,1955,4646,ESP,AGO
225,215,275,387,467,0,SDN,AGO
32,64,74,132,200,0,SWZ,AGO
0,156,344,644,428,619,SWE,AGO
225,62,286,230,4300,4773,CHE,AGO
22,20,6,16,1102,3063,TZA,AGO
9,0,335,674,2313,0,THA,AGO
883,3222,6480,484,33459,11449,GBR,AGO
141,316,1347,3194,8412,5637,USA,AGO
258,130,968,582,216,118,VEN,AGO
42246,33853,27957,25172,22777,93496,ZMB,AGO
0,7,14,98,141,,CAN,AIA
321,291,242,205,170,,DOM,AIA
955,839,737,65,554,,ANT,AIA
14,42,61,27,566,,PRI,AIA
410,317,302,7,134,,KNA,AIA
987,440,39,26,41,,TTO,AIA
147,3,438,815,417,,USA,AIA
125,195,1267,1603,1105,,VIR,AIA
14,24,35,66,113,,AIA,ATG
341,273,238,35,40,0,BRB,ATG
14,162,317,1925,2288,2724,CAN,ATG
242,219,122,75,96,0,CUB,ATG
71,132,197,196,290,401,DMA,ATG
615,556,463,393,325,397,DOM,ATG
171,100,33,22,41,,GRD,ATG
36,59,136,308,276,,GLP,ATG
184,116,118,143,128,0,IDN,ATG
143,102,77,73,221,0,JAM,ATG
207,249,236,176,16,,MSR,ATG
223,212,126,49,41,0,MMR,ATG
203,178,156,229,1058,,ANT,ATG
82,92,337,67,5791,7495,PHL,ATG
50,147,211,96,1966,0,PRI,ATG
332,256,244,177,154,188,KNA,ATG
73,77,85,76,115,205,LCA,ATG
130,1,662,1330,4566,0,THA,ATG
3497,1560,139,90,144,0,TTO,ATG
7,9,9,8,12,5154,GBR,ATG
3901,91,4533,13281,19151,17611,USA,ATG
0,0,2,0,125,,VNM,ATG
726,735,5189,7744,4842,5293,VIR,ATG
66,323,397,461,509,,VGB,ATG
4,24,6,12,16,224,AND,ARG
8,8,8,53,123,0,ABW,ARG
144,434,8783,10299,10749,14190,AUS,ARG
119,46,564,364,339,1166,AUT,ARG
100,420,495,533,719,1835,BEL,ARG
4113,9976,14647,17463,27612,45424,BOL,ARG
17814,17026,26427,28161,27553,27700,BRA,ARG
1909,2421,2992,9645,13536,21094,CAN,ARG
11966,12739,18862,32548,45713,82539,CHL,ARG
2,8,6,123,207,,CHN,ARG
943,1418,1730,2142,2654,2570,COL,ARG
146,203,429,656,1103,0,CRI,ARG
0,0,0,170,184,211,HRV,ARG
397,360,206,132,181,164,CUB,ARG
3,4,4,28,312,312,CZE,ARG
81,868,825,903,931,1302,DNK,ARG
90,809,1502,2291,3221,3940,DOM,ARG
540,1004,1563,1661,2183,7394,ECU,ARG
9,22,36,103,330,0,EGY,ARG
109,118,135,146,163,207,SLV,ARG
23,98,190,117,173,270,FIN,ARG
10669,1067,9699,9508,17999,11151,FRA,ARG
1230,1767,5144,3561,5112,7391,DEU,ARG
24,66,238,516,254,415,GRC,ARG
203,267,320,275,345,432,GTM,ARG
353,205,20,17,40,0,GUY,ARG
68,31,40,86,139,118,HND,ARG
48,225,208,181,173,249,HUN,ARG
48,60,107,77,265,546,IRL,ARG
1107,1315,1243,16177,36951,48312,ISR,ARG
458,17211,16981,34358,20311,16243,ITA,ARG
5,78,173,2666,3061,3893,JPN,ARG
2,8,5,32,897,,LBN,ARG
5,7,25,151,115,139,LUX,ARG
3,3,5,139,161,0,MKD,ARG
0,0,0,65,72,114,MRT,ARG
2480,1638,6004,4417,6564,9508,MEX,ARG
0,3,14,59,180,0,MOZ,ARG
3,226,625,1800,2215,2644,NLD,ARG
31,27,24,102,48,,ANT,ARG
131,145,217,231,382,994,NZL,ARG
70,118,133,142,170,227,NIC,ARG
106,145,1085,368,618,0,NGA,ARG
163,237,370,453,544,826,NOR,ARG
242,456,551,615,811,1154,PAN,ARG
27512,24563,37611,47261,64284,59115,PRY,ARG
2643,3877,4861,4386,3586,2997,PER,ARG
11,113,44,43,638,818,PHL,ARG
4,4,58,112,190,189,POL,ARG
55,144,377,856,1094,1465,PRT,ARG
133,392,563,1252,281,0,PRI,ARG
2,45,67,54,1340,0,QAT,ARG
16,16,29,236,875,,SCG,ARG
1,1,2,5,57,115,SVK,ARG
1,1,2,92,172,0,SVN,ARG
422,672,920,972,1004,0,ZAF,ARG
12334,20804,35637,52801,83803,331173,ESP,ARG
415,275,180,243,324,0,SUR,ARG
268,620,2204,2156,2408,3220,SWE,ARG
408,541,283,1876,1359,5706,CHE,ARG
18,0,86,173,594,0,THA,ARG
128,233,278,503,142,158,TUR,ARG
5672,319,3589,4574,10198,9002,GBR,ARG
17591,55325,77600,106364,133210,163353,USA,ARG
27775,23013,16613,18724,25146,22743,URY,ARG
4240,3827,10340,9580,8733,8533,VEN,ARG
61,73,86,113,175,0,PSE,ARG
0,0,333,0,0,0,ZMB,ARG
1318,857,446,90,1497,46,ARG,ARM
214,484,234,375,887,1156,AUS,ARM
164,99,87,181,654,589,AUT,ARM
152502,168047,165099,137027,89898,42596,AZE,ARM
0,0,0,2912,2035,6074,BLR,ARM
418,189,69,62,195,1153,BEL,ARM
985,734,484,284,971,0,BRA,ARM
857,894,916,908,4221,0,BGR,ARM
2374,1997,1651,1652,1879,2555,CAN,ARM
189,62,3,19,425,,CHN,ARM
104,2837,1781,1230,1007,,COD,ARM
5,9,246,408,75,12,COG,ARM
41,143,244,348,537,1037,CYP,ARM
30,33,37,260,930,931,CZE,ARM
13,208,149,127,569,744,DNK,ARM
56,54,51,7,184,0,EGY,ARM
0,0,0,758,600,0,EST,ARM
34,26,23,24,89,148,FIN,ARM
1755,175,376,51,2961,14481,FRA,ARM
38234,39045,38679,37742,23674,17769,GEO,ARM
674,745,781,11517,21695,15515,DEU,ARM
61,123,157,3459,7438,8769,GRC,ARM
540,530,29,255,4831,0,HKG,ARM
654,1059,943,813,770,75,HUN,ARM
108,68,69,84,75,0,IDN,ARM
0,0,0,2,615,1375,IRN,ARM
229,141,84,51,0,0,IRQ,ARM
1,2,3,4,52,135,IRL,ARM
1233,1466,2481,5685,10674,16509,ISR,ARM
110,21,184,47,280,554,ITA,ARM
0,6364,7718,10756,8481,7357,KAZ,ARM
121,1271,1015,718,23,0,KEN,ARM
0,1150,1406,1701,667,0,KGZ,ARM
0,0,0,1399,1031,3164,LVA,ARM
6,9,9,37,300,,LBN,ARM
0,0,0,895,684,431,LTU,ARM
125,72,25,13,12,0,MDG,ARM
0,613,896,1318,1081,0,MDA,ARM
1319,1254,650,29,24,0,MMR,ARM
0,4,10,28,252,1912,NLD,ARM
57,50,298,87,146,0,NGA,ARM
7,5,4,8,36,167,NOR,ARM
16,47,28,24,164,0,PRY,ARM
47,51,197,28,153,0,PHL,ARM
3067,2641,1914,1348,905,1941,POL,ARM
6,50,129,61,448,0,QAT,ARM
72835,84996,103733,151484,481328,493126,RUS,ARM
12,13,15,45,105,164,SVK,ARM
0,0,0,108,2502,12388,ESP,ARM
714,681,874,297,358,0,SDN,ARM
466,105,101,99,448,888,SWE,ARM
98,51,68,156,705,474,CHE,ARM
0,1543,1980,2302,1731,0,TJK,ARM
100,92,167,161,138,0,TZA,ARM
11,277,525,847,2671,0,THA,ARM
297,250,182,223,801,891,TUR,ARM
2552,3196,3698,4436,3252,7248,TKM,ARM
18403,21959,25378,36498,52168,53193,UKR,ARM
614,491,1464,752,15,789,GBR,ARM
84201,69991,49945,32487,99985,77208,USA,ARM
172,143,103,65,238,215,URY,ARM
0,8304,10296,12280,10008,0,UZB,ARM
172,57,40,389,29,28,VEN,ARM
