Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt50000
BRA,TOT,PRY,15979,30531,84503,104263,82987,true
BRA,TOT,USA,14821,34273,49875,100962,225330,true
BRA,FEM,JPN,106,1693,4264,19063,109834,true
BRA,FEM,USA,7181,19723,27547,52966,121825,true
BRA,MAL,JPN,141,2271,4506,33115,132412,true
BRA,MAL,USA,7640,14549,22327,47996,103504,true
BGR,TOT,TUR,282561,313509,293493,457367,480716,true
BGR,FEM,TUR,137691,156379,147644,234891,252180,true
BGR,MAL,TUR,144870,157130,145849,222475,228536,true
BFA,TOT,CIV,402537,622326,798070,864973,1252098,true
BFA,FEM,CIV,158041,244333,323689,377957,545133,true
BFA,MAL,CIV,244496,377994,474381,487015,706966,true
BDI,TOT,SDN,25018,23869,30618,42892,51746,true
BDI,TOT,TZA,83203,77114,152540,75731,72272,true
KHM,TOT,USA,1219,858,20024,127916,140684,true
KHM,FEM,USA,500,417,9528,67701,75768,true
KHM,MAL,USA,720,441,10497,60214,64916,true
CAN,TOT,GBR,65702,69131,63556,64048,76106,true
CAN,TOT,USA,995660,964010,1001367,914902,950549,true
CAN,FEM,USA,567975,587059,574229,527475,527430,true
CAN,MAL,USA,427685,376952,427137,387426,423119,true
TCD,TOT,CMR,37960,42708,34007,77678,65397,true
CHL,TOT,ARG,119505,163943,217368,226327,219104,true
CHL,TOT,USA,6695,19695,42572,66317,85597,true
CHL,FEM,ARG,47445,72346,100822,107937,112616,true
CHL,MAL,ARG,72061,91597,116546,118390,106488,true
CHN,TOT,AUS,13834,20051,25805,75698,162810,true
CHN,TOT,CAN,35717,62157,90391,137439,336302,true
CHN,TOT,DEU,1023,1528,1930,8527,86998,true
CHN,TOT,HKG,1562528,16823,1898285,1994591,2164744,true
CHN,TOT,IDN,1723200,1084464,677790,419396,81323,true
CHN,TOT,ITA,905,4177,1517,30469,75109,true
CHN,TOT,JPN,52509,53719,52376,134823,335495,true
CHN,TOT,MAC,62104,24899,90156,168243,203877,true
CHN,TOT,MYS,33563,411602,286332,147224,75458,true
CHN,TOT,PHL,196157,105959,37700,77055,125278,true
CHN,TOT,SGP,278798,243677,218970,261396,348383,true
CHN,TOT,THA,423268,286877,175389,137066,224153,true
CHN,TOT,GBR,11328,14293,17991,24817,94896,true
CHN,TOT,USA,105384,220531,320005,574049,1016412,true
CHN,FEM,AUS,4489,8211,12938,35442,86995,true
CHN,FEM,CAN,11664,27542,44526,65933,178745,true
CHN,FEM,HKG,754758,7627,905900,967596,1096238,true
CHN,FEM,JPN,23849,24543,24868,66214,188539,true
CHN,FEM,MAC,27804,11951,46385,89794,113390,true
CHN,FEM,PHL,85376,47756,16911,38518,66899,true
CHN,FEM,SGP,136454,123017,111923,140056,192185,true
CHN,FEM,THA,149381,109098,74052,62397,112103,true
CHN,FEM,GBR,5826,7123,9298,13246,56064,true
CHN,FEM,USA,40529,44113,159610,286857,537944,true
CHN,MAL,AUS,9346,11840,12867,40256,75816,true
CHN,MAL,CAN,24053,34615,45865,71506,157557,true
CHN,MAL,HKG,807770,9196,992386,1026994,1068506,true
CHN,MAL,JPN,28661,29176,27508,68609,146957,true
CHN,MAL,MAC,34301,12948,43772,78449,90487,true
CHN,MAL,PHL,110782,58204,20789,38537,58379,true
CHN,MAL,SGP,142344,120660,107046,121339,156198,true
CHN,MAL,THA,273888,177780,101337,74669,112050,true
CHN,MAL,USA,64855,176418,160395,287192,478467,true
COL,TOT,ECU,12586,23428,36461,40042,50510,true
COL,TOT,ESP,963,1624,2781,9834,140748,true
COL,TOT,USA,13898,82450,167474,323838,533019,true
COL,TOT,VEN,97349,173628,455590,553872,617744,true
COL,FEM,ESP,538,905,1555,5264,82474,true
COL,FEM,USA,7601,45492,88981,171295,292558,true
COL,FEM,VEN,47671,67771,236044,293677,322808,true
COL,MAL,ESP,424,718,1227,4570,58273,true
COL,MAL,USA,6297,36957,78493,152542,240461,true
COL,MAL,VEN,49678,105857,219546,260195,294936,true
COD,TOT,RWA,0,5980,7573,10216,288278,true
COD,TOT,SDN,26018,24823,31842,44439,53612,true
COD,TOT,UGA,151662,151390,102140,62412,86624,true
COD,FEM,RWA,0,3038,3842,5933,162005,true
COD,MAL,RWA,0,2942,3731,4283,126272,true
CRI,TOT,USA,5794,19697,34220,51520,76623,true
CIV,TOT,BFA,29146,41361,78945,184497,418038,true
CIV,TOT,MLI,57434,56380,55346,54331,74193,true
CIV,FEM,BFA,12891,41361,38755,89466,205341,true
CIV,MAL,BFA,16255,0,40190,95031,212697,true
HRV,TOT,AUS,13739,23671,41224,44691,51426,true
HRV,TOT,AUT,9237,51570,162,57709,85547,true
HRV,TOT,DEU,12700,89269,132571,115671,224721,true
HRV,TOT,USA,32940,34608,32004,28436,58970,true
HRV,FEM,DEU,5399,32823,58082,53236,109062,true
HRV,MAL,DEU,7301,56446,74489,62435,115658,true
CUB,TOT,USA,85161,522875,682634,799972,894560,true
CUB,FEM,USA,42509,305075,362332,410570,457696,true
CUB,MAL,USA,42652,217800,320301,389401,436864,true
CYP,TOT,GBR,48725,76911,86350,114020,79291,true
CZE,TOT,FRA,130859,47311,11410,10545,220766,true
CZE,TOT,DEU,736457,776632,749065,374732,402366,true
CZE,TOT,SVK,102,113,125,386,74910,true
CZE,TOT,USA,193699,155326,124279,93336,73623,true
CZE,FEM,FRA,62510,22760,6330,6127,111822,true
CZE,FEM,DEU,368185,412568,407049,209810,213127,true
CZE,MAL,FRA,68349,24551,5080,4417,108945,true
CZE,MAL,DEU,368272,364064,342016,164922,189239,true
DOM,TOT,USA,13265,75310,188690,376328,706894,true
DOM,FEM,USA,8239,39977,105421,205680,385813,true
DOM,MAL,USA,5026,35333,83269,170648,321081,true
ECU,TOT,ESP,951,1604,2748,9716,176212,true
ECU,TOT,USA,8400,46789,99076,152738,302705,true
ECU,FEM,ESP,532,894,1536,5201,91229,true
ECU,FEM,USA,4231,25192,51011,77025,145180,true
ECU,MAL,ESP,419,710,1212,4515,84983,true
ECU,MAL,USA,4170,21596,48065,75713,157525,true
EGY,TOT,JOR,157,6406,25456,85785,102174,true
EGY,TOT,KWT,1743,37212,111358,120896,114162,true
EGY,TOT,LBY,5398,71015,180526,265932,318394,true
EGY,TOT,QAT,115,2405,8462,21596,56093,true
EGY,TOT,SAU,12110,68199,347779,906089,980205,true
EGY,TOT,ARE,129,3850,42028,77983,133986,true
EGY,TOT,USA,8884,30520,52431,79861,118619,true
EGY,TOT,PSE,30461,36318,42998,56581,87461,true
EGY,FEM,LBY,2926,28015,63188,93083,111445,true
EGY,FEM,SAU,2020,10254,47170,110959,140977,true
EGY,MAL,JOR,98,4901,19340,68647,77875,true
EGY,MAL,KWT,785,21619,69968,92421,92785,true
EGY,MAL,LBY,2472,43000,117338,172850,206948,true
EGY,MAL,QAT,86,1794,6764,19064,50952,true
EGY,MAL,SAU,10089,57945,300609,795130,839229,true
EGY,MAL,ARE,111,3226,32496,53675,98886,true
EGY,MAL,USA,4809,13599,29271,47163,68822,true
SLV,TOT,USA,7453,18548,105316,502329,827583,true
SLV,FEM,USA,4468,10314,59382,242912,401185,true
SLV,MAL,USA,2985,8234,45935,259417,426398,true
ERI,TOT,ETH,230750,219497,230751,242582,255018,true
ERI,FEM,ETH,89138,88053,97410,107179,111729,true
ERI,MAL,ETH,141612,131444,133342,135403,143290,true
EST,TOT,RUS,0,88904,78400,65485,67402,true
ETH,TOT,ISR,2736,3251,4389,30337,66967,true
ETH,TOT,USA,1415,2847,10583,34983,71578,true
FIN,TOT,FRA,46878,16770,2041,2738,79086,true
FIN,TOT,SWE,99867,242646,250527,222029,193364,true
FIN,FEM,SWE,59294,127928,156000,125987,112665,true
FIN,MAL,SWE,40573,114718,94527,96042,80698,true
FRA,TOT,BEL,60056,88405,106324,93350,113542,true
FRA,TOT,CAN,35113,44354,54664,61528,78675,true
FRA,TOT,COD,19348,146683,91409,63168,51717,true
FRA,TOT,DEU,23951,39654,74684,70276,112171,true
FRA,TOT,PRT,3441,8990,23489,60844,93565,true
FRA,TOT,REU,4244,9230,19150,38190,69863,true
FRA,TOT,ESP,43966,74159,127032,132217,126435,true
FRA,TOT,CHE,42069,56585,56276,56141,65553,true
FRA,TOT,GBR,36254,21661,39996,54189,116631,true
FRA,TOT,USA,116814,124960,167205,171151,198061,true
FRA,FEM,BEL,32660,45784,52747,47043,58677,true
FRA,FEM,DEU,11261,22362,38714,37902,59776,true
FRA,FEM,ESP,22836,38398,65951,71010,68285,true
FRA,FEM,GBR,24640,12742,27064,34398,68673,true
FRA,FEM,USA,72019,68619,99077,101910,109660,true
FRA,MAL,BEL,27395,42621,53577,46307,54865,true
FRA,MAL,DEU,12690,17292,35970,32374,52396,true
FRA,MAL,ESP,21130,35760,61082,61208,58150,true
FRA,MAL,USA,44795,56340,68128,69241,88402,true
GEO,TOT,ARM,0,69672,66870,60756,66796,true
GEO,TOT,DEU,3149,3320,3324,60148,75104,true
GEO,TOT,ISR,9967,11843,20048,45934,86254,true
GEO,TOT,RUS,0,223261,289412,423040,628973,true
