Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000
IRL,TOT,GBR,892,717774,621804,599823,636751
IRL,TOT,USA,353621,297642,216471,186124,163136
ISR,TOT,USA,18761,46174,75666,100555,125896
ISR,TOT,PSE,167080,199203,235848,310350,479728
ITA,TOT,ARG,927303,687552,487003,363907,224155
ITA,TOT,AUS,218698,309003,266038,246309,216676
ITA,TOT,BEL,196020,254545,288899,241481,203181
ITA,TOT,CAN,250997,314957,386475,423097,310213
ITA,TOT,FRA,140448,840941,594387,520281,236943
ITA,TOT,DEU,216562,540065,611115,506864,629291
ITA,TOT,CHE,442123,590957,486056,414031,336726
ITA,TOT,GBR,100455,115935,100220,92402,125396
ITA,TOT,USA,1312537,1193985,923820,667394,547833
JAM,TOT,CAN,499,5345,10400,101004,118874
JAM,TOT,GBR,116203,148203,168068,144441,152843
JAM,TOT,USA,26710,83570,221818,363387,575845
JPN,TOT,USA,114981,160338,335683,448625,500527
JOR,TOT,KWT,14838,175512,317832,460366,434725
JOR,TOT,SAU,1575,8868,45222,117818,127456
JOR,TOT,PSE,94032,112110,132734,174663,269988
KAZ,TOT,RUS,1097639,1371420,1486916,1825035,2584955
KAZ,TOT,UKR,0,204927,235611,343730,245072
KAZ,TOT,UZB,81010,119718,155469,202204,164799
KEN,TOT,GBR,7751,60648,104566,121741,130511
PRK,TOT,KOR,100600,149316,500248,550504,431629
KOR,TOT,JPN,622220,624009,667656,700574,685943
KOR,TOT,USA,12902,58927,313404,693692,896982
KWT,TOT,SAU,1251,7048,35942,93641,101301
KWT,TOT,PSE,54458,64928,76872,101155,156362
KGZ,TOT,RUS,0,0,93846,260914,463521
LAO,TOT,USA,3163,2393,55861,188630,213399
LVA,TOT,RUS,0,127388,143546,99932,102518
LBN,TOT,USA,23394,29825,59509,99437,113215
LSO,TOT,ZAF,199144,190023,178089,286656,114095
LBR,TOT,GIN,247,369,551,35154,117820
LTU,TOT,DEU,39538,41045,39988,122059,126069
MWI,TOT,ZWE,134866,173843,163962,154642,142229
MYS,TOT,SGP,129858,187189,213364,343171,725607
MLI,TOT,CIV,183795,284150,364393,393886,444425
MTQ,TOT,FRA,10971,1097,94001,702,132228
MEX,TOT,USA,610787,936424,2408502,4662233,9367910
MDA,TOT,RUS,79527,111747,130384,228795,277527
MDA,TOT,UKR,139233,153206,169151,186983,165126
MAR,TOT,BEL,2109,40107,108759,141833,110962
MAR,TOT,FRA,155574,294994,540819,654248,262462
MAR,TOT,ISR,191014,226971,217033,182652,187826
MAR,TOT,ITA,9169,14158,8767,160780,286498
MAR,TOT,NLD,27,15355,42489,122444,151254
MAR,TOT,ESP,24997,42164,72226,105884,253173
MOZ,TOT,MWI,209525,205837,114444,112430,110451
MOZ,TOT,ZAF,161807,119683,74784,129409,264572
MMR,TOT,THA,30263,10728,30234,52701,171759
NPL,TOT,IND,515785,523992,560061,503422,649166
NLD,TOT,CAN,131332,132782,136859,154743,115944
NLD,TOT,DEU,68276,99802,110516,96774,112253
NLD,TOT,USA,123774,130939,115731,107769,106397
NZL,TOT,AUS,45855,60518,174094,256718,350498
NIC,TOT,CRI,17823,12633,28054,99006,226582
NIC,TOT,USA,10215,19029,49468,181863,229386
NGA,TOT,GBR,15725,29796,32060,51154,106221
NGA,TOT,USA,3141,5885,31976,69384,141571
OMN,TOT,ARE,112,3354,36608,67927,116710
PAK,TOT,IND,8662538,8141307,3063529,1866445,1331659
PAK,TOT,SAU,7889,44432,226578,590319,638606
PAK,TOT,ARE,547,16366,178653,331493,569556
